"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"1471","Very-long-chain 3-ketoacyl-CoA synthase","UU","AT4G34510","AT4G34510","AT4G34510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472","SSF50729;Regulator of chromosome condensation/beta-lactamase-inhibitor protein II;Zinc finger, RING/FYVE/PHD-type;Disease resistance/zinc finger/chromosome condensation-like region","DD","AT1G65920","AT1G65920","AT1G65920",NA,"pos",2,2,4,1,1,2,4,1,2,1,0,7,1,1,2,0,1,0,0,1,0,0,1
"1473","t-SNARE","UU","AT3G52400","AT3G52400","AT3G52400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1474","SSF57889;SSF57889;SSF57889;SSF57889","DD","AT5G43030","AT5G43030","AT5G43030",NA,"pos",3,0,4,1,1,3,4,0,0,0,0,6,1,1,1,2,1,1,1,1,1,0,0
"1475","NO_DESCRIPTION","DD","AT2G18970","AT2G18970","AT2G18970",NA,"pos",3,1,3,2,1,2,3,1,2,1,1,6,2,0,1,2,0,2,1,1,0,1,1
"1476","NO_DESCRIPTION","UU","AT5G47920","AT5G47920","AT5G47920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477","NO_DESCRIPTION","UU","AT2G25930","AT2G25930","AT2G25930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1478","Major intrinsic protein","UU","AT2G37170","AT2G37170","AT2G37170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479","SSF57889;SSF57889;SSF57889;SSF57889","DD","AT5G54020","AT5G54020","AT5G54020",NA,"pos",3,1,4,0,1,1,3,1,2,1,1,5,1,0,2,0,1,2,1,1,1,0,0
"1480","NO_DESCRIPTION","DD","AT2G18969","AT2G18969","AT2G18969",NA,"pos",2,0,4,0,1,0,5,0,2,0,1,4,0,0,4,2,1,2,0,0,0,1,1
"1481","Protein of unknown function DUF247, plant","DD","AT3G50170","AT3G50170","AT3G50170",NA,"pos",0,1,4,2,0,1,2,1,0,1,1,6,0,0,4,1,1,1,0,1,0,1,0
"1482","SSF52058;Protein kinase-like domain","DD","AT3G56100","AT3G56100","AT3G56100",NA,"pos",0,1,5,1,1,0,2,0,0,0,1,1,0,1,2,1,0,1,0,0,0,1,0
"1483","SSF53756","UU","AT4G00550","AT4G00550","AT4G00550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1484","Tetraspanin","UU","AT4G30430","AT4G30430","AT4G30430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1485","BTB/POZ fold;NPH3","DD","AT3G08660","AT3G08660","AT3G08660",NA,"pos",2,2,3,1,1,3,5,1,2,0,0,6,1,0,1,3,2,0,0,0,1,1,1
"1486","Lipase, GDSL","DD","AT3G50400","AT3G50400","AT3G50400",NA,"pos",4,0,4,0,1,1,4,0,2,0,0,4,2,1,2,0,3,1,0,1,1,0,0
"1487","C2 calcium/lipid-binding domain, CaLB","UU","AT1G09070","AT1G09070","AT1G09070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1488","Thioredoxin-like fold;Glutathione S-transferase, C-terminal-like","UU","AT2G29460","AT2G29460","AT2G29460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1489","TRAM/LAG1/CLN8 homology domain","DD","AT3G25950","AT3G25950","AT3G25950",NA,"pos",1,1,2,0,1,0,1,1,2,1,2,3,0,2,5,1,1,1,0,0,1,0,1
"1490","NO_DESCRIPTION","DD","AT4G21780","AT4G21780","AT4G21780",NA,"pos",1,1,4,0,0,0,1,0,2,1,0,3,1,1,2,2,2,0,0,0,1,1,0
"1491","Cupin, RmlC-type","UU","AT3G04300","AT3G04300","AT3G04300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1492","NO_DESCRIPTION","UU","AT1G31270","AT1G31270","AT1G31270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493","NO_DESCRIPTION","DD","AT5G24880","AT5G24880","AT5G24880",NA,"pos",3,1,3,0,0,2,3,0,1,1,0,4,1,1,6,1,2,0,0,1,1,1,1
"1494","SSF52058;SSF52058;NOVEL00152","DD","AT3G23110","AT3G23110","AT3G23110",NA,"pos",1,1,5,1,1,1,3,1,0,1,0,5,1,0,3,0,2,1,0,1,0,0,0
"1495","NO_DESCRIPTION","DD","AT3G08490","AT3G08490","AT3G08490",NA,"pos",1,1,4,0,0,3,3,1,1,1,1,3,1,0,2,2,2,0,1,1,0,0,0
"1496","SSF47473","UU","AT3G10300","AT3G10300","AT3G10300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1497","PF04188","UU","AT1G11880","AT1G11880","AT1G11880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1498","NO_DESCRIPTION","DD","AT4G18501","AT4G18501","AT4G18501",NA,"pos",2,2,2,0,1,1,2,1,1,1,0,3,1,1,1,1,1,0,1,1,0,1,0
"1499","Protein of unknown function DUF3049","UU","AT1G03170","AT1G03170","AT1G03170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500","Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal;Ribulose bisphosphate carboxylase, large subunit, C-terminal","DD","ATCG00490","ATCG00490","ATCG00490",NA,"pos",2,0,2,1,1,1,4,0,2,1,1,3,2,0,6,1,0,2,1,1,1,0,1
"1501","NO_DESCRIPTION","UU","AT2G17442","AT2G17442","AT2G17442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1502","NO_DESCRIPTION","DD","AT2G18938","AT2G18938","AT2G18938",NA,"pos",2,1,3,1,1,3,3,1,3,1,1,4,1,0,0,0,1,1,1,1,0,0,0
"1503","NO_DESCRIPTION","DD","AT3G06890","AT3G06890","AT3G06890",NA,"pos",0,1,2,0,1,1,2,0,0,1,1,5,0,0,2,2,1,0,0,1,1,0,0
"1504","Zinc finger, B-box;Zinc finger, B-box","UU","AT2G21320","AT2G21320","AT2G21320","DBB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505","NOVEL00045;Protein of unknown function DUF221;NOVEL00046","UU","AT1G11960","AT1G11960","AT1G11960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1506","Protein of unknown function DUF584","DD","AT4G21970","AT4G21970","AT4G21970",NA,"pos",2,1,4,2,1,2,4,0,0,1,1,5,1,1,2,1,0,1,1,1,1,0,1
"1507","Major facilitator superfamily, general substrate transporter","DD","AT5G23270","AT5G23270","AT5G23270",NA,"pos",2,0,2,0,0,2,0,0,1,0,0,3,1,0,0,0,1,1,0,1,0,0,1
"1508","SSF54593","DD","AT2G28420","AT2G28420","AT2G28420",NA,"pos",2,0,6,2,1,1,5,1,1,0,0,7,1,1,1,2,1,1,1,1,0,1,1
"1509","Glutamate receptor-related","UU","AT4G35290","AT4G35290","AT4G35290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1510","SSF53756","DD","AT3G46720","AT3G46720","AT3G46720",NA,"pos",1,1,1,0,1,1,3,0,1,0,0,2,0,1,2,0,0,1,1,0,0,0,1
"1511","NOVEL00066;Wall-associated kinase;NOVEL00067;Protein kinase-like domain","UU","AT1G16130","AT1G16130","AT1G16130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1512","Amino acid transporter, transmembrane","UU","AT3G56200","AT3G56200","AT3G56200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1513","SSF53756","UU","AT2G36750","AT2G36750","AT2G36750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1514","NO_DESCRIPTION","DD","AT1G13670","AT1G13670","AT1G13670",NA,"pos",2,1,0,1,0,3,4,1,3,0,0,6,1,1,4,0,1,1,1,1,0,0,0
"1515","Histone-fold","DD","AT5G10390","AT5G10390","AT5G10390",NA,"pos",0,0,2,2,1,1,2,0,1,0,0,1,1,0,2,2,0,0,0,1,0,1,1
"1516","Protein of unknown function DUF789","UU","AT5G23380","AT5G23380","AT5G23380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1517","Pectin lyase fold/virulence factor","UU","AT1G78400","AT1G78400","AT1G78400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1518","Protein of unknown function DUF803","UU","AT4G13800","AT4G13800","AT4G13800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1519","PTHR11239","UU","AT1G20065","AT1G20065","AT1G20065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520","Curculin-like (mannose-binding) lectin;Protein kinase-like domain","DD","AT5G60900","AT5G60900","AT5G60900",NA,"pos",3,1,4,2,1,3,1,0,3,1,1,5,2,1,1,1,1,1,1,1,1,0,1
"1521","NO_DESCRIPTION","DD","AT2G28870","AT2G28870","AT2G28870",NA,"pos",2,1,4,1,0,3,3,1,2,1,0,5,1,1,3,1,1,0,1,1,0,0,1
"1522","ABC transporter, transmembrane domain, type 1;SSF52540;ABC transporter, transmembrane domain, type 1;SSF52540","DD","AT3G59140","AT3G59140","AT3G59140",NA,"pos",1,2,3,1,1,1,2,0,2,1,0,6,1,1,0,0,2,0,1,1,1,0,1
"1523","Protein kinase-like domain","UU","AT1G73690","AT1G73690","AT1G73690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1524","NO_DESCRIPTION","DD","AT4G37240","AT4G37240","AT4G37240",NA,"pos",1,1,3,1,1,2,4,1,4,0,0,2,0,0,3,1,1,0,0,1,1,1,1
"1525","Actin-binding FH2","UU","AT1G42980","AT1G42980","AT1G42980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1526","FAD-binding, type 2;Berberine/berberine-like","UU","AT1G34575","AT1G34575","AT1G34575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1527","NO_DESCRIPTION","DD","AT2G27180","AT2G27180","AT2G27180",NA,"pos",3,2,4,2,0,2,1,0,2,1,2,6,1,1,3,0,0,0,1,1,0,0,0
"1528","Protein of unknown function DUF26;Protein of unknown function DUF26;Protein kinase-like domain","DD","AT4G23130","AT4G23130","AT4G23130",NA,"pos",0,1,2,2,1,1,1,1,0,1,1,6,1,0,4,0,1,1,1,1,0,0,1
"1529","Major facilitator superfamily, general substrate transporter","DD","AT1G71880","AT1G71880","AT1G71880",NA,"pos",0,0,4,0,1,3,3,0,1,1,0,2,1,1,0,1,1,2,0,1,0,1,0
"1530","Plant specific mitochondrial import receptor subunit TOM20;Plant specific mitochondrial import receptor subunit TOM20","DD","AT3G27070","AT3G27070","AT3G27070",NA,"pos",1,1,3,1,1,1,0,1,1,1,2,4,0,0,0,1,2,0,1,0,0,0,1
"1531","SSF57850","UU","AT2G38185","AT2G38185","AT2G38185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1532","NO_DESCRIPTION","DD","AT3G01513","AT3G01513","AT3G01513",NA,"pos",2,1,4,1,1,3,2,0,0,1,2,5,1,0,3,3,1,1,0,1,1,1,0
"1533","NO_DESCRIPTION","DD","AT5G41780","AT5G41780","AT5G41780",NA,"pos",1,2,3,0,1,3,4,0,0,0,0,7,1,0,2,2,3,1,0,1,0,1,0
"1534","NO_DESCRIPTION","DD","AT1G53633","AT1G53633","AT1G53633",NA,"pos",0,0,4,0,1,2,5,0,4,1,0,4,1,0,3,1,2,1,0,1,1,1,1
"1535","Protein kinase-like domain;NAF domain","UU","AT2G25090","AT2G25090","AT2G25090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1536","F-box domain, Skp2-like;Protein of unknown function DUF295","UU","AT2G03560","AT2G03560","AT2G03560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537","NOVEL00024;SSF52058;Protein kinase-like domain","DD","AT5G59670","AT5G59670","AT5G59670",NA,"pos",0,0,3,0,1,3,1,1,1,1,1,3,1,0,0,1,0,0,1,0,0,0,0
"1538","Helix-loop-helix DNA-binding","UU","AT4G33880","AT4G33880","AT4G33880","bHLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1539","Transcription Factor IIF, Rap30/Rap74, interaction;SSF46785","DD","AT3G52270","AT3G52270","AT3G52270",NA,"pos",1,0,3,0,1,1,3,0,2,1,1,3,0,0,2,2,1,0,0,0,1,0,1
"1540","NO_DESCRIPTION","UU","ATMG00660","ATMG00660","ATMG00660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1541","Core-2/I-Branching enzyme","UU","AT1G73810","AT1G73810","AT1G73810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1542","SSF81324;Ankyrin repeat-containing domain;Protein of unknown function DUF3354","UU","AT5G37500","AT5G37500","AT5G37500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1543","NO_DESCRIPTION","DD","AT1G78030","AT1G78030","AT1G78030",NA,"pos",3,1,3,0,1,2,3,1,2,0,0,3,1,2,2,2,0,0,1,0,0,0,0
"1544","Pectinesterase inhibitor;Pectin lyase fold/virulence factor","DD","AT3G06830","AT3G06830","AT3G06830",NA,"pos",2,2,2,1,1,2,2,1,1,1,0,1,0,1,2,0,2,0,0,0,0,1,1
"1545","Histone-fold","UU","AT3G09480","AT3G09480","AT3G09480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1546","Protein of unknown function DUF630;Protein of unknown function DUF632","UU","AT1G21740","AT1G21740","AT1G21740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1547","PTHR15481","DD","AT1G79100","AT1G79100","AT1G79100",NA,"pos",2,1,4,0,0,3,4,0,0,1,1,3,1,0,2,2,1,0,0,0,0,0,0
"1548","Chalcone isomerase","UU","AT2G26310","AT2G26310","AT2G26310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1549","SSF57889;SSF57889","DD","AT4G01925","AT4G01925","AT4G01925",NA,"pos",2,1,5,2,1,3,3,1,1,1,1,5,1,0,4,3,2,1,0,1,1,1,1
"1550","NO_DESCRIPTION","DD","AT4G37685","AT4G37685","AT4G37685",NA,"pos",1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0
"1551","Flavin-containing monooxygenase-like","UU","AT1G04180","AT1G04180","AT1G04180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1552","Toll-Interleukin receptor;SSF52540;SSF46785;SSF52058;NOVEL00244","UU","AT5G41750","AT5G41750","AT5G41750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1553","Lecithin:cholesterol acyltransferase;Lecithin:cholesterol acyltransferase","UU","AT1G04010","AT1G04010","AT1G04010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1554","SSF57850","UU","AT3G10815","AT3G10815","AT3G10815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1555","Thioredoxin-like fold;Glutathione S-transferase, C-terminal-like","UU","AT1G02920","AT1G02920","AT1G02920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1556","SSF53448","UU","AT1G60470","AT1G60470","AT1G60470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1557","SSF53474","UU","AT1G23330","AT1G23330","AT1G23330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1558","Mitochondrial substrate carrier","DD","AT1G79900","AT1G79900","AT1G79900",NA,"pos",2,0,3,0,1,1,2,0,3,1,1,3,0,0,3,2,0,1,0,0,0,1,0
"1559","Protein kinase-like domain","UU","AT4G36950","AT4G36950","AT4G36950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1560","NO_DESCRIPTION","UU","AT2G07775","AT2G07775","AT2G07775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1561","Cupredoxin","UU","AT5G20230","AT5G20230","AT5G20230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1562","NO_DESCRIPTION","DD","AT3G07425","AT3G07425","AT3G07425",NA,"pos",2,0,5,0,0,1,3,1,0,1,0,6,1,0,1,0,1,1,1,1,0,1,1
"1563","SSF52058","DD","AT5G66330","AT5G66330","AT5G66330",NA,"pos",0,0,2,0,1,1,1,0,1,0,0,1,2,1,3,0,1,1,0,1,0,1,1
"1564","SSF48452;Pentatricopeptide repeat;SSF48452","DD","AT3G50420","AT3G50420","AT3G50420",NA,"pos",3,0,3,1,1,0,0,0,2,1,0,2,0,0,2,1,0,1,0,0,1,0,1
"1565","No apical meristem (NAM) protein","DD","AT3G44290","AT3G44290","AT3G44290","NAC","pos",1,1,3,0,0,3,5,1,3,1,2,4,1,0,1,1,0,0,0,1,1,1,1
"1566","Haem peroxidase","DD","AT2G39040","AT2G39040","AT2G39040",NA,"pos",3,2,4,1,0,3,4,1,1,1,1,7,1,0,2,0,2,1,1,1,0,1,0
"1567","Peptidoglycan binding-like;SSF55486","UU","AT1G24140","AT1G24140","AT1G24140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1568","NO_DESCRIPTION","UU","AT4G33467","AT4G33467","AT4G33467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1569","Haem peroxidase","DD","AT2G18980","AT2G18980","AT2G18980",NA,"pos",4,1,2,0,0,1,5,0,4,1,1,5,1,1,2,0,2,1,0,1,0,1,0
"1570","SSF53756","DD","AT4G14090","AT4G14090","AT4G14090",NA,"pos",3,0,1,1,1,0,1,0,1,1,1,2,1,0,5,3,1,0,0,0,1,1,0
"1571","Auxin responsive SAUR protein","UU","AT1G76190","AT1G76190","AT1G76190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572","SSF53474","DD","AT1G19190","AT1G19190","AT1G19190",NA,"pos",0,0,6,0,1,0,3,0,0,1,1,1,1,1,2,1,1,0,1,1,0,1,1
"1573","NO_DESCRIPTION","UU","ATMG00130","ATMG00130","ATMG00130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1574","Cytochrome c-type biogenesis protein CcmB","UU","ATMG00110","ATMG00110","ATMG00110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575","SSF52058;SSF52058","DD","AT5G23400","AT5G23400","AT5G23400",NA,"pos",0,1,3,2,1,2,3,0,0,1,1,5,1,0,0,0,0,0,1,0,1,1,1
"1576","Toll-Interleukin receptor;SSF52540;SSF46785;SSF52058","UU","AT1G63730","AT1G63730","AT1G63730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1577","NO_DESCRIPTION","UU","AT4G14301","AT4G14301","AT4G14301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578","NO_DESCRIPTION","UU","ATMG00050","ATMG00050","ATMG00050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1579","Toll-Interleukin receptor;SSF52540;SSF46785;SSF52058","UU","AT4G14370","AT4G14370","AT4G14370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1580","Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat","DD","AT1G26500","AT1G26500","AT1G26500",NA,"pos",0,1,4,0,1,0,3,1,2,1,0,3,0,0,3,3,2,1,0,1,1,1,0
"1581","Cytochrome P450","DD","AT5G07990","AT5G07990","AT5G07990",NA,"pos",3,0,4,1,1,3,3,0,2,0,0,6,1,1,3,2,0,0,0,1,0,1,0
"1582","SSF51735","DD","AT2G30670","AT2G30670","AT2G30670",NA,"pos",1,1,5,2,0,1,6,1,1,1,0,4,1,0,2,1,1,1,1,1,1,0,0
"1583","BTB/POZ fold;Ankyrin repeat-containing domain","DD","AT3G57130","AT3G57130","AT3G57130",NA,"pos",1,1,2,2,1,1,4,1,3,0,0,5,0,0,2,0,1,2,0,1,0,1,1
"1584","Ribosomal protein, zinc-binding domain","UU","AT3G61111","AT3G61111","AT3G61111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1585","NO_DESCRIPTION","DD","AT5G42860","AT5G42860","AT5G42860",NA,"pos",0,0,5,2,0,2,4,0,0,1,1,1,1,0,3,2,0,2,0,0,1,1,1
"1586","Protein of unknown function DUF620","DD","AT5G66740","AT5G66740","AT5G66740",NA,"pos",3,1,5,1,0,1,3,0,0,1,1,4,2,1,5,1,1,2,1,1,0,1,1
"1587","HTH transcriptional regulator, Myb-type, DNA-binding;HTH transcriptional regulator, Myb-type, DNA-binding","UU","AT5G55020","AT5G55020","AT5G55020","MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1588","Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat","DD","AT2G26790","AT2G26790","AT2G26790",NA,"pos",2,1,3,0,1,2,2,0,0,1,1,6,1,0,2,0,2,1,0,0,0,1,0
"1589","Protein kinase-like domain;NAF domain","DD","AT2G38490","AT2G38490","AT2G38490",NA,"pos",3,1,3,0,0,1,3,0,1,1,0,2,1,1,3,1,1,1,0,0,1,0,1
"1590","NO_DESCRIPTION","UU","AT1G20070","AT1G20070","AT1G20070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591","Cactin, central region","UU","AT2G36815","AT2G36815","AT2G36815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1592","NO_DESCRIPTION","DD","AT5G54585","AT5G54585","AT5G54585",NA,"pos",3,1,6,1,1,1,4,0,4,0,0,4,1,1,1,2,2,1,0,1,1,0,1
"1593","BURP","DD","AT1G23760","AT1G23760","AT1G23760",NA,"pos",1,1,2,1,1,0,2,0,2,1,2,1,0,0,2,1,1,2,0,0,0,1,1
